/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_17:2015-01-29 17:59:33,147 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-12 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422554371--ReceiveTime:1422554373094--CostTime:53--player:192124479000101,cjbae10000--Params:{"cmdBaseTime":"1422554371","pf":"nstore","nonce":"9181223653522307013","paymentSeq":"1011447020","itemId":"9471","orderId":"1011447020"}--RetObj:cmd exception--ResLog:{"wood":1129482,"food":267330,"silver":500,"stone":0,"iron":90538}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30_02:2015-01-30 02:51:49,332 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-43 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422586309--ReceiveTime:1422586309283--CostTime:49--player:225655153000105,호르피나--Params:{"cmdBaseTime":"1422586309","pf":"nstore","nonce":"-6331939377108983840","paymentSeq":"1011453151","itemId":"9480","orderId":"1011453151"}--RetObj:cmd exception--ResLog:{"wood":1045356,"food":454420,"silver":500,"stone":0,"iron":25323}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29-22:2015-01-30 00:34:51,496 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-16 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422578090--ReceiveTime:1422578091443--CostTime:53--player:368048457000108,네코얌--Params:{"cmdBaseTime":"1422578090","pf":"nstore","nonce":"-2004423853655244882","paymentSeq":"1011450569","itemId":"9004","orderId":"1011450569"}--RetObj:cmd exception--ResLog:{"wood":57002,"food":1051961,"silver":500,"stone":0,"iron":62641}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29-22:2015-01-30 00:34:56,492 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-13 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422578096--ReceiveTime:1422578096433--CostTime:59--player:368048457000108,네코얌--Params:{"cmdBaseTime":"1422578096","pf":"nstore","nonce":"-2004423853655244882","paymentSeq":"1011450569","itemId":"9004","orderId":"1011450569"}--RetObj:cmd exception--ResLog:{"wood":57002,"food":1051961,"silver":500,"stone":0,"iron":62641}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30_02:2015-01-30 02:51:46,974 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-36 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422586305--ReceiveTime:1422586306922--CostTime:52--player:442525851000110,Transcendence J--Params:{"cmdBaseTime":"1422586305","pf":"nstore","nonce":"-4410565213666198153","paymentSeq":"1011453133","itemId":"9480","orderId":"1011453133"}--RetObj:cmd exception--ResLog:{"wood":1122175,"food":792933,"silver":500,"stone":5618,"iron":5747}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30_02:2015-01-30 02:51:51,891 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-21 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422586309--ReceiveTime:1422586311835--CostTime:56--player:442525851000110,Transcendence J--Params:{"cmdBaseTime":"1422586309","pf":"nstore","nonce":"-4410565213666198153","paymentSeq":"1011453133","itemId":"9480","orderId":"1011453133"}--RetObj:cmd exception--ResLog:{"wood":1122175,"food":792933,"silver":500,"stone":5618,"iron":5747}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29-14:2015-01-29 15:55:28,592 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-24 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422546927--ReceiveTime:1422546928532--CostTime:60--player:302449371000110,£ove.레이¥--Params:{"cmdBaseTime":"1422546927","pf":"nstore","nonce":"-4653894611163521439","paymentSeq":"1011444576","itemId":"9472","orderId":"1011444576"}--RetObj:cmd exception--ResLog:{"wood":731270,"food":2031206,"silver":500,"stone":0,"iron":5142}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29-14:2015-01-29 15:55:33,598 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-24 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422546932--ReceiveTime:1422546933542--CostTime:56--player:302449371000110,£ove.레이¥--Params:{"cmdBaseTime":"1422546932","pf":"nstore","nonce":"-4653894611163521439","paymentSeq":"1011444576","itemId":"9472","orderId":"1011444576"}--RetObj:cmd exception--ResLog:{"wood":731270,"food":2031206,"silver":500,"stone":0,"iron":5142}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29-21:2015-01-30 00:37:43,931 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-27 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422578262--ReceiveTime:1422578263876--CostTime:55--player:442525851000110,Transcendence J--Params:{"cmdBaseTime":"1422578262","pf":"nstore","nonce":"7395424763013050627","paymentSeq":"1011450645","itemId":"9480","orderId":"1011450645"}--RetObj:cmd exception--ResLog:{"wood":1027684,"food":1085765,"silver":500,"stone":5438,"iron":23502}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29-21:2015-01-30 00:37:48,860 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-35 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422578266--ReceiveTime:1422578268815--CostTime:45--player:442525851000110,Transcendence J--Params:{"cmdBaseTime":"1422578266","pf":"nstore","nonce":"7395424763013050627","paymentSeq":"1011450645","itemId":"9480","orderId":"1011450645"}--RetObj:cmd exception--ResLog:{"wood":1027684,"food":1085765,"silver":500,"stone":5438,"iron":23502}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29-21:2015-01-30 00:38:58,825 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-2 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422578337--ReceiveTime:1422578338768--CostTime:57--player:442525851000110,Transcendence J--Params:{"cmdBaseTime":"1422578337","pf":"nstore","nonce":"-365375624840164539","paymentSeq":"1011450666","itemId":"9480","orderId":"1011450666"}--RetObj:cmd exception--ResLog:{"wood":1027684,"food":1085140,"silver":500,"stone":5438,"iron":23502}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29-21:2015-01-30 00:39:03,768 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-7 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422578341--ReceiveTime:1422578343709--CostTime:59--player:442525851000110,Transcendence J--Params:{"cmdBaseTime":"1422578341","pf":"nstore","nonce":"-365375624840164539","paymentSeq":"1011450666","itemId":"9480","orderId":"1011450666"}--RetObj:cmd exception--ResLog:{"wood":1027684,"food":1085140,"silver":500,"stone":5438,"iron":23502}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29-21:2015-01-30 00:41:57,955 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-40 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422578516--ReceiveTime:1422578517899--CostTime:56--player:442525851000110,Transcendence J--Params:{"cmdBaseTime":"1422578516","pf":"nstore","nonce":"8641333350583567400","paymentSeq":"1011450706","itemId":"9480","orderId":"1011450706"}--RetObj:cmd exception--ResLog:{"wood":1036060,"food":1094371,"silver":500,"stone":5500,"iron":24892}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29-21:2015-01-30 00:42:02,842 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-31 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422578520--ReceiveTime:1422578522789--CostTime:53--player:442525851000110,Transcendence J--Params:{"cmdBaseTime":"1422578520","pf":"nstore","nonce":"8641333350583567400","paymentSeq":"1011450706","itemId":"9480","orderId":"1011450706"}--RetObj:cmd exception--ResLog:{"wood":1036060,"food":1094371,"silver":500,"stone":5500,"iron":24892}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30-02:2015-01-30 03:25:26,062 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-32 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422588325--ReceiveTime:1422588326011--CostTime:51--player:671699272000111,Take one--Params:{"cmdBaseTime":"1422588325","pf":"nstore","nonce":"-7902314262260606959","paymentSeq":"1011453833","itemId":"9150","orderId":"1011453833"}--RetObj:cmd exception--ResLog:{"wood":956254,"food":549707,"silver":500,"stone":0,"iron":46400}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30-02:2015-01-30 03:25:31,010 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-27 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422588329--ReceiveTime:1422588330953--CostTime:57--player:671699272000111,Take one--Params:{"cmdBaseTime":"1422588329","pf":"nstore","nonce":"-7902314262260606959","paymentSeq":"1011453833","itemId":"9150","orderId":"1011453833"}--RetObj:cmd exception--ResLog:{"wood":956254,"food":549707,"silver":500,"stone":0,"iron":46400}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_15:2015-01-29 15:39:02,489 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-16 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422545942--ReceiveTime:1422545942439--CostTime:50--player:354697849000116,메소우사--Params:{"cmdBaseTime":"1422545942","pf":"nstore","nonce":"-8087256303126944866","paymentSeq":"1011444063","itemId":"9470","orderId":"1011444063"}--RetObj:cmd exception--ResLog:{"wood":578797,"food":275538,"silver":500,"stone":0,"iron":0}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_15:2015-01-29 15:39:07,429 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-36 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422545947--ReceiveTime:1422545947372--CostTime:57--player:354697849000116,메소우사--Params:{"cmdBaseTime":"1422545947","pf":"nstore","nonce":"-8087256303126944866","paymentSeq":"1011444063","itemId":"9470","orderId":"1011444063"}--RetObj:cmd exception--ResLog:{"wood":578797,"food":275538,"silver":500,"stone":0,"iron":0}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_15:2015-01-29 15:39:30,291 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-49 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422545968--ReceiveTime:1422545970242--CostTime:49--player:354697849000116,메소우사--Params:{"cmdBaseTime":"1422545968","pf":"nstore","nonce":"-1794164438105556037","paymentSeq":"1011444075","itemId":"9470","orderId":"1011444075"}--RetObj:cmd exception--ResLog:{"wood":612797,"food":309509,"silver":500,"stone":0,"iron":0}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_15:2015-01-29 15:39:35,303 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-44 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422545973--ReceiveTime:1422545975256--CostTime:47--player:354697849000116,메소우사--Params:{"cmdBaseTime":"1422545973","pf":"nstore","nonce":"-1794164438105556037","paymentSeq":"1011444075","itemId":"9470","orderId":"1011444075"}--RetObj:cmd exception--ResLog:{"wood":612797,"food":309509,"silver":500,"stone":0,"iron":0}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_15:2015-01-29 15:46:14,375 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-29 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422546369--ReceiveTime:1422546374328--CostTime:47--player:258832336000116,똥쌍피--Params:{"cmdBaseTime":"1422546369","pf":"nstore","nonce":"-41152229095212963","paymentSeq":"1011444287","itemId":"9470","orderId":"1011444287"}--RetObj:cmd exception--ResLog:{"wood":206154,"food":329844,"silver":500,"stone":0,"iron":17432}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_15:2015-01-29 15:46:19,310 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-11 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422546379--ReceiveTime:1422546379259--CostTime:51--player:258832336000116,똥쌍피--Params:{"cmdBaseTime":"1422546379","pf":"nstore","nonce":"-41152229095212963","paymentSeq":"1011444287","itemId":"9470","orderId":"1011444287"}--RetObj:cmd exception--ResLog:{"wood":206154,"food":329844,"silver":500,"stone":0,"iron":17432}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30_01:2015-01-30 01:48:39,661 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-2 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422582518--ReceiveTime:1422582519609--CostTime:52--player:368379441000117,장보고37--Params:{"cmdBaseTime":"1422582518","pf":"nstore","nonce":"-4294944780923376275","paymentSeq":"1011451926","itemId":"9240","orderId":"1011451926"}--RetObj:cmd exception--ResLog:{"wood":69676,"food":3600222,"silver":500,"stone":139865,"iron":57834}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30_01:2015-01-30 01:48:44,574 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-32 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422582523--ReceiveTime:1422582524510--CostTime:64--player:368379441000117,장보고37--Params:{"cmdBaseTime":"1422582523","pf":"nstore","nonce":"-4294944780923376275","paymentSeq":"1011451926","itemId":"9240","orderId":"1011451926"}--RetObj:cmd exception--ResLog:{"wood":69676,"food":3600222,"silver":500,"stone":139865,"iron":57834}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30_01:2015-01-30 01:52:19,545 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-10 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422582738--ReceiveTime:1422582739501--CostTime:44--player:368379441000117,장보고37--Params:{"cmdBaseTime":"1422582738","pf":"nstore","nonce":"9159330380637054474","paymentSeq":"1011451996","itemId":"9240","orderId":"1011451996"}--RetObj:cmd exception--ResLog:{"wood":69676,"food":3598584,"silver":500,"stone":139865,"iron":57834}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30_01:2015-01-30 01:52:24,507 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-5 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422582743--ReceiveTime:1422582744459--CostTime:48--player:368379441000117,장보고37--Params:{"cmdBaseTime":"1422582743","pf":"nstore","nonce":"9159330380637054474","paymentSeq":"1011451996","itemId":"9240","orderId":"1011451996"}--RetObj:cmd exception--ResLog:{"wood":69676,"food":3598548,"silver":500,"stone":139865,"iron":57834}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30_01:2015-01-30 01:52:47,491 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-45 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422582766--ReceiveTime:1422582767440--CostTime:51--player:368379441000117,장보고37--Params:{"cmdBaseTime":"1422582766","pf":"nstore","nonce":"8894402499105225169","paymentSeq":"1011452012","itemId":"9240","orderId":"1011452012"}--RetObj:cmd exception--ResLog:{"wood":69676,"food":3598377,"silver":500,"stone":139865,"iron":57834}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30_01:2015-01-30 01:52:52,391 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-41 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422582771--ReceiveTime:1422582772337--CostTime:54--player:368379441000117,장보고37--Params:{"cmdBaseTime":"1422582771","pf":"nstore","nonce":"8894402499105225169","paymentSeq":"1011452012","itemId":"9240","orderId":"1011452012"}--RetObj:cmd exception--ResLog:{"wood":69676,"food":3598377,"silver":500,"stone":139865,"iron":57834}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30-00:2015-01-30 01:25:14,982 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-50 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422581113--ReceiveTime:1422581114933--CostTime:49--player:891413913000035,=SoulGavy=--Params:{"cmdBaseTime":"1422581113","pf":"nstore","nonce":"532428859742989859","paymentSeq":"1011451473","itemId":"9480","orderId":"1011451473"}--RetObj:cmd exception--ResLog:{"wood":649179,"food":186202,"silver":500,"stone":0,"iron":64610}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30-00:2015-01-30 01:25:19,923 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-38 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422581118--ReceiveTime:1422581119870--CostTime:53--player:891413913000035,=SoulGavy=--Params:{"cmdBaseTime":"1422581118","pf":"nstore","nonce":"532428859742989859","paymentSeq":"1011451473","itemId":"9480","orderId":"1011451473"}--RetObj:cmd exception--ResLog:{"wood":649179,"food":186202,"silver":500,"stone":0,"iron":64610}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_14:2015-01-29 14:41:43,268 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-37 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422542500--ReceiveTime:1422542503214--CostTime:54--player:434135997000119,연태순둥이--Params:{"cmdBaseTime":"1422542500","pf":"nstore","nonce":"-655217818976596204","paymentSeq":"1011441875","itemId":"9006","orderId":"1011441875"}--RetObj:cmd exception--ResLog:{"wood":884840,"food":316167,"silver":500,"stone":0,"iron":0}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_14:2015-01-29 14:41:48,071 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-27 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422542505--ReceiveTime:1422542508024--CostTime:47--player:434135997000119,연태순둥이--Params:{"cmdBaseTime":"1422542505","pf":"nstore","nonce":"-655217818976596204","paymentSeq":"1011441875","itemId":"9006","orderId":"1011441875"}--RetObj:cmd exception--ResLog:{"wood":884840,"food":316167,"silver":500,"stone":0,"iron":0}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29-19:2015-01-29 23:25:53,979 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-25 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422573953--ReceiveTime:1422573953933--CostTime:46--player:790055984000051,♥애기구름♥--Params:{"cmdBaseTime":"1422573953","pf":"nstore","nonce":"-663994060971506604","paymentSeq":"1011449616","itemId":"9220","orderId":"1011449616"}--RetObj:cmd exception--ResLog:{"wood":672599,"food":1040530,"silver":500,"stone":0,"iron":10784}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29-19:2015-01-29 23:25:58,996 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-32 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422573958--ReceiveTime:1422573958940--CostTime:56--player:790055984000051,♥애기구름♥--Params:{"cmdBaseTime":"1422573958","pf":"nstore","nonce":"-663994060971506604","paymentSeq":"1011449616","itemId":"9220","orderId":"1011449616"}--RetObj:cmd exception--ResLog:{"wood":672599,"food":1040530,"silver":500,"stone":0,"iron":10784}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29-19:2015-01-29 23:27:35,790 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-43 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422574055--ReceiveTime:1422574055745--CostTime:45--player:790055984000051,♥애기구름♥--Params:{"cmdBaseTime":"1422574055","pf":"nstore","nonce":"-6328734260623329371","paymentSeq":"1011449641","itemId":"9220","orderId":"1011449641"}--RetObj:cmd exception--ResLog:{"wood":672599,"food":1039848,"silver":500,"stone":0,"iron":10784}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29-19:2015-01-29 23:27:40,823 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-31 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422574059--ReceiveTime:1422574060774--CostTime:49--player:790055984000051,♥애기구름♥--Params:{"cmdBaseTime":"1422574059","pf":"nstore","nonce":"-6328734260623329371","paymentSeq":"1011449641","itemId":"9220","orderId":"1011449641"}--RetObj:cmd exception--ResLog:{"wood":672599,"food":1039848,"silver":500,"stone":0,"iron":10784}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_18:2015-01-29 18:35:12,491 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-13 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422556511--ReceiveTime:1422556512439--CostTime:52--player:357701688000128,plmqaz--Params:{"cmdBaseTime":"1422556511","pf":"nstore","nonce":"1576941877561544067","paymentSeq":"1011447380","itemId":"9105","orderId":"1011447380"}--RetObj:cmd exception--ResLog:{"wood":1046393,"food":2520,"silver":500,"stone":0,"iron":0}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_18:2015-01-29 18:35:17,362 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-39 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422556516--ReceiveTime:1422556517316--CostTime:46--player:357701688000128,plmqaz--Params:{"cmdBaseTime":"1422556516","pf":"nstore","nonce":"1576941877561544067","paymentSeq":"1011447380","itemId":"9105","orderId":"1011447380"}--RetObj:cmd exception--ResLog:{"wood":1046393,"food":2520,"silver":500,"stone":0,"iron":0}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_18:2015-01-29 18:58:52,058 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-46 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422557931--ReceiveTime:1422557932001--CostTime:57--player:357701688000128,plmqaz--Params:{"cmdBaseTime":"1422557931","pf":"nstore","nonce":"-1970188695941216919","paymentSeq":"1011447543","itemId":"9210","orderId":"1011447543"}--RetObj:cmd exception--ResLog:{"wood":960309,"food":1282,"silver":500,"stone":0,"iron":0}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_18:2015-01-29 18:58:57,061 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-49 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422557935--ReceiveTime:1422557937008--CostTime:53--player:357701688000128,plmqaz--Params:{"cmdBaseTime":"1422557935","pf":"nstore","nonce":"-1970188695941216919","paymentSeq":"1011447543","itemId":"9210","orderId":"1011447543"}--RetObj:cmd exception--ResLog:{"wood":960309,"food":1282,"silver":500,"stone":0,"iron":0}
